[12603.265s][info][gc,phases   ] GC(2446) Concurrent Process Non-Strong References 16900.371ms
[12603.277s][info][gc          ] Allocation Stall (qtp579590740-4457) 195.965ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 28) 104.726ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: f832b0f0-5a55-32a9-9b13-acd0df626d82: 17203948: 399) 103.573ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: 7232a426-80ae-6ded-73a4-79db4ff7f995: 14231828: 38) 181.074ms
[12603.277s][info][gc          ] Allocation Stall (requestHandler: c4605d63-3701-2b55-e910-8fa56f3e21ee: 13708372.v2: 1825) 176.114ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 129ee3bd-102e-7bfd-07b5-9504fadffd0a: 17614217: 2562) 103.597ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: c75137f8-f43f-1e93-1488-6ca490b6bf7a: 13322849: e8ab73ed-bc2a-4358-9036-c638f3e3cc8c) 103.106ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 8ab83436-133b-6b54-50f4-b639fba4d71b: 13035992: 22) 103.123ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: c08a59dc-0948-3c69-60a7-bea172c0d114: 17846342: 207) 108.660ms
[12603.281s][info][gc          ] Allocation Stall (kafka-coordinator-heartbeat-thread) 103.189ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 94ebbf53-fe59-be2e-d4fb-ff4f6c73d9ae: 17754873: f7c7ba11-f656-4aa6-b557-0b405afffd66) 107.596ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: b0f5b7e4-48b3-a37c-8b1b-a33a7636c14b: 17308047: 8ab4fbc5-1726-471e-a28c-325126e303ff) 103.118ms
[12603.278s][info][gc          ] Allocation Stall (requestHandler: 9eeaca32-8ac9-da5c-669e-88a56bda8591: 11087353: 153) 107.698ms
[12603.276s][info][gc          ] Allocation Stall (qtp579590740-10089) 226.910ms
[12603.281s][info][gc          ] Allocation Stall (requestHandler: 05c87ffd-ea25-c7f2-3bfd-f7a71e581c36: 18056035: 7365ca60-b23c-4251-95b1-80f234ffcb1e) 102.735ms
